movie title,imdb id,cast,plot,director,rating,genres,poster,language cinema,votes,year,runtime,languages,trailer
Harry Potter and the Goblet of Fire: (2005),330373,"['Eric Sykes', 'Timothy Spall', 'David Tennant', 'Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Mark Williams', 'James Phelps', 'Oliver Phelps', 'Bonnie Wright', 'Jeff Rawle', 'Robert Pattinson', 'Jason Isaacs', 'Tom Felton', 'Stanislav Yanevski', 'Robert Hardy', 'Philip Rham', 'Olivia Higginbottom', 'Ashley Artus', 'Alex Palmer', 'Shashi Rami', 'Richard Rosson', 'Roger Lloyd Pack', 'Sheila Allen', 'Su Elliot', 'Anne Lacy', 'Flip Webster', 'David Sterne', 'Christopher Whittingham', 'Liam McKenna', 'Campbell Graham', 'Margery Mason', 'Katie Leung', 'Matthew Lewis', 'Robbie Coltrane', 'William Melling', 'Michael Gambon', 'David Bradley', 'Devon Murray', 'Afshan Azad', 'Warwick Davis', 'Frances de la Tour', 'Shefali Chowdhury', 'Angelica Mandy', 'Clémence Poésy', 'Maggie Smith', 'Alan Rickman', 'Predrag Bjelac', 'Tolga Safer', 'Brendan Gleeson', 'Alfred Enoch', 'Louis Doyle', 'Jamie Waylett', 'Josh Herdman', 'Charlotte Skeoch', 'Miranda Richardson', 'Robert Wilfort', 'Gary Oldman', 'Tiana Benjamin', 'Henry Lloyd-Hughes', 'Jarvis Cocker', 'Jonny Greenwood', 'Phil Selway', 'Steve Mackey', 'Jason Buckle', 'Steve Claydon', 'Shirley Henderson', 'Alan Watts', 'Ralph Fiennes', 'Adrian Rawlins', 'Geraldine Somerville', 'Joe Accerelli', 'Jake Addley', 'Emily Aitcheson', 'Ponciano Almeida', 'Lia Alu', 'Alex Argenti', 'Ben Ashton', 'Emily Atchinson', 'Lasco Atkins', 'Joel Babbington', 'Jack Bagley', 'Paul Bannon', 'Paul Bateman', 'Alexys Becerra', 'Greta Bellamacina', 'Lily Bertrand-Webb', 'Sara Bispham', 'Jamal Hue Bonner', 'Melanie Bright', 'Lucy-Anne Brooks', 'Vaughan Capstick', 'Lucy Casson', 'Marianne Chase', 'Paul Chiedozie', 'Samantha Clinch', 'Jack Coleby', 'Martin Alexander Colton', 'Ross Cook', 'Jack Courtney', 'Alexandra Craig', 'Janine Craig', 'Christina Cuttell', 'Cheri Darbon', 'Liam Darbon', 'Paul Davies', 'Emma De Vees', 'Jake Dolman', 'Gabriella Munro Douglas', 'Barry Dowden', 'Connor Dyer', 'Jessica Foden', 'Mark Franks', 'Marcus Fraser', 'Kelsey Gallagher', 'Hannah Gooch-Peters', 'Kit Green', 'Ethnie Hales', 'Natalie Hallam', 'Sarah Harrison', 'Aaron Heffernan', 'Phil Holden', 'Tim Hope', 'Carly Houston', 'Eddie Howards', 'Lee Hoy', 'Kevin Hudson', 'Shona Kay', 'Hazel Keech', 'Hannah Kenneally-Muir', 'Mona Khalili', 'Lee Knight', 'Greg Kolpakchi', 'Sophie Lamont', 'Daniel Larner', 'Diane Leach', 'Sonny Louis', 'Eva Loy', 'Mala Su Mabey', 'Reece Mack', 'Mehmet Mahmut', 'Talal Malik', 'Montana Manning', 'Maximus Marcantonio', 'James Marinos', 'Anna McGarahan', 'Simpson McKendry', 'Jamie McLeod-Ross', 'Oliver Miceli', 'Naomi Miller', 'Catherine Morris', 'Sam Morris', 'Phil Mulryne', 'Laurence Murray', 'Ann Ogden', 'Oreo', 'Andrew Osbourne', 'Jo Osmond', 'Lisa Osmond', 'Roy Owens', 'Nathan Phillips', 'Elizabeth Poole', 'Nikki Posener', 'Katie Purvis', 'Sangeeta Reding', 'Paije Richardson', 'Roxanne Ricketts', 'Charlotte Ritchie', 'Samantha Rnic', 'Sarah Rorbach', 'Caroline Rovina', 'Dominic Rowntree', 'Peter Roy', 'Michael Salami', 'Joanne Sandi', 'Jonathan Schwerzmann', 'Tim Secrett', 'Lauren Shotton', 'Hazel Showham', 'John Sigurdson', 'Aaron Sillis', 'Jo Simpson', 'Kit Sinnett', 'Andy Smart', 'Jimmy Song', 'Shardiah Ssagala', 'Carmen Straker', 'Albert Tang', 'Anthony Trahearn', 'Tom Verrichia', 'Paul Vigrass', 'Brian Wheeler', 'Ian Whyte', 'Siobhan Ellen Williams', 'Funda Önal']","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Mike Newell,7.7,"['Adventure', 'Family', 'Fantasy', 'Mystery']",https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@.jpg,American,679246.0,2005.0,['157'],"['English', 'French', 'Latin']",https://www.youtube.com/embed/3EGojp4Hh6I
American Horror Story: (2011),1844624,"['Evan Peters', 'Sarah Paulson', ""Denis O'Hare"", 'Lily Rabe', 'Kathy Bates', 'Frances Conroy', 'Emma Roberts', 'Jessica Lange', 'Billie Lourd', 'Angela Bassett', 'Leslie Grossman', 'Cheyenne Jackson', 'Adina Porter', 'Taissa Farmiga', 'Finn Wittrock', 'Zachary Quinto', 'Wes Bentley', 'Cody Fern', 'Gabourey Sidibe', 'Dylan McDermott', 'Jamie Brewer', 'Angelica Ross', 'Naomi Grossman', 'Chloë Sevigny', 'John Carroll Lynch', 'Erika Ervin', 'Lady Gaga', 'Isaac Powell', 'Patti LuPone', 'Mare Winningham', 'Joseph Fiennes', 'Connie Britton', 'Michael Chiklis', 'Matt Bomer', 'Lizzie Brocheré', 'Chaz Bono', 'Mat Fraser', 'Rose Siggins', 'James Cromwell', 'Billy Eichner', 'Jyoti Amge', 'Alison Pill', 'Sandra Bernhard', 'Russell Tovey', 'Joe Mantello', 'Cuba Gooding Jr.', 'André Holland', 'Charlie Carver', 'Danny Huston', 'Leslie Jordan']","An anthology series centering on different characters and locations, showcasing different aspects of horror.",,8.0,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",https://m.media-amazon.com/images/M/MV5BM2ZlMjQ2ZmEtODEwYi00ZTk5LThmY2UtYWFiNzE3MjZjNzQyXkEyXkFqcGdeQXVyMTU1ODIwMTM1.jpg,Kannada,342282.0,2011.0,['60'],['English'],https://www.youtube.com/embed/uBmnkk0QW3Q
Daawat-e-Ishq: (2014),3398052,"['Aditya Roy Kapoor', 'Parineeti Chopra', 'Anupam Kher', 'Karan Wahi', 'Beena Malji', 'Falguni Desai', 'Aashish Raj Bidkikar', 'Arvind Vahi', 'Shela Naidu', 'Syed Akhar', 'Arjuman Begum', 'Reshma Begum', 'Fiza Begum', 'Raza Hussain', 'Shabaaz Salim', 'Sanjay K. Raidu', 'Moin Khan', 'G.S. Shailapati', 'Rohit Kumar Gupta', 'Sanjana', 'Pooja Pillai', 'Sarvamangala', 'A. Narsimha', 'Radhika Sharma', 'Anusha Sampath', 'Harry Shobhnani', 'Geeta Udeshe', 'Nevil Thomas', 'Aslam Farshuri', 'Samina Raza', 'Rahul Chahan', 'Avinash Yadav', 'Ritika Murthy', 'Abdul Gaffar', 'Mukesh K. Aqrahan', 'Chirag Ashwin Khandar', 'Akash Mukherjee', 'Braj Kishore', 'Kiran Arora', 'Lea', 'Julia Bliss', 'Melanie', 'Helene Kurtz', 'K.K. Mishra', 'Abhinav Parashar', 'Danish Satri', 'Anil Badola', 'Vinod Kumar', 'Amar Kushwala', 'Satyaranjan', 'Rajesh Rao', 'Ritesh Shulda', 'Ratan Rathore', 'Seema Sharma', 'Simran Natekar', 'Sumit Gaddi', 'Abner Reginald', 'Akbar Bin Tabar', 'Zeeshan Janbaz', 'Jai Singh', 'Chand Shaikh', 'Haj Kamal', 'Avikaash', 'Viswender Reddy', 'Mohammad Afroz Ali', 'Mohammad Azheruddin', 'K. Balaji', 'A. Ravi Verma', 'Mohin', 'Aziz Rizwan', 'Scorpio Ravi', 'Matheen Asrar', 'Rita Ghosh', 'Nisha Dhawan', 'Captain Chanchari', 'Annapoorna', 'Shaukat Khan Allahuddin', 'Munna Khan', 'Sonu Khan', 'Rizvaan Khan', 'Ratnakar Mavilach', 'Braj Kishore Tiwari']","A story of Gullu, a Hyderabadi girl frustrated with dowry-seeking men and Taru (a charming Lucknawi cook), who crush old-fashioned world-view.",Habib Faisal,6.1,"['Comedy', 'Drama', 'Romance']",https://m.media-amazon.com/images/M/MV5BMzIwMWYyNzctNDI3My00OGYyLWI5NjEtOWFkZGNjZjU1YWUzXkEyXkFqcGdeQXVyNTkzNDQ4ODc@.jpg,Hindi,6129.0,2014.0,['118'],"['Hindi', 'English']",https://www.youtube.com/embed/rtsHlYO6TUc
Joyful Noise: (2012),1710396,"['Queen Latifah', 'Dolly Parton', 'Keke Palmer', 'Jeremy Jordan', 'Dexter Darden', 'Courtney B. Vance', 'Jesse L. Martin', 'Kirk Franklin', 'Angela Grovey', 'Andy Karl', 'Dequina Moore', 'Kris Kristofferson', 'Paul Woolfolk', 'Francis Jue', 'Roy Huang', 'Judd Lormand', 'Karen Peck', 'Ivan Kelley Jr.', 'David Dwyer', 'Stevie Ray Dallimore', 'Kevin Bulla', 'Ziah Colon', 'Hajji Golightly', 'Rana Kirkland', 'Bruce Williamson', 'Maurice Johnson', 'Charles E. Bullock', 'SaraVon Davenport', 'Ceasar Davis', 'Michelle Kabashinski', 'Rivka Levin', 'Valerie Payton', 'Promise Ramsey', 'Brad Raymond', 'Takara Clark', 'Troy Delarosa', 'Likesa Harris', 'KaMillion', 'Eric Len Jordan', 'Dixie Light', ""Kevin O'Hara"", 'Jessica Pack', 'Shari Dyon Perry', 'Melody J. Pinion', 'Brian Ashton Smith', 'Kevin Steele', 'Antwan Thomas', 'George E. Barnett', 'Karen Beyer', 'Whitney Christopher', 'Tony DeSario', 'David Faust', 'Jyn Hall', 'Lisa L. Irby', 'Kate Kneeland', 'Dustin Lewis', 'Bruce Meadows', 'Craig A. Meyer', 'Lydia Pace', 'Zechariah Pierce', 'L.A. Winters', 'Shameik Moore', 'Isabella Amara', 'Chloe Bailey', 'Valencia Barnes', 'Trey Best', 'Kennedy Milan Bright', 'Samuel Bush', 'Mikayla Farrington', 'Nia Imani', 'Erykah K. Johnson', 'Mari Kasuya', 'LaKendra Kennedy', 'Tarren Mason', 'Anna Leanne Morrell', 'Taylin Destiny Morris', 'Choice Mostellar', 'Erica Radermacher', 'Ce Avani Rhodes', 'Jordan Semone Robertson', 'Bryana Salaz', 'Kylah Searcy', 'Tyler Silva', 'Krishtian Sonny', 'Matthew Taylor', 'Sydney Lee Thompson', 'Justin Truitt', 'Natalie Ragins', 'Mervyn Warren', 'Ron James', 'Jonathan Lloyd', 'Jason Young', 'Sheryl Harper', ""Richard 'Rip' Gager"", 'Michael Hurwitz', 'Phillip T. Cornish', ""Harold 'Sahun' Martin"", 'Shelley Paul', 'Gaika James', 'Jarriel Carter', ""Robert 'Sput' Searight"", 'Keith Taylor', 'Steve Cunningham', 'Katie Baughman', 'Kevin Chaney', 'Angele Lawless', 'Jonathan Wright', 'Robert S. Barmettler', 'Chance Bartels', 'Deanne Charlton', 'Krystle Comer', 'John T. Ford', 'Justin Lee Gobble', 'Carlos Ramónne Graham', 'Jimmie Green', 'Walter Hendrix III', 'Ashlyn R. Hendrix', 'Roger Herrera', 'Jonathan Hillery', 'Steven Kennebrew-Turner', 'Scott Ledbetter', 'Josiah Lyricq', 'BreeAnna Marie', 'Moses J. Moseley', 'Isaiah Motz', 'Gregory Marshall Smith', 'Pat Smith', 'Peter Stolmeier', 'Brett Taylor', 'Andy Turner', 'Steve Warren', 'Marvin E. West']","G.G. Sparrow faces off with her choir's newly appointed director, Vi Rose Hill, over the group's direction as they head into a national competition.",Todd Graff,5.7,"['Comedy', 'Drama', 'Music']",https://m.media-amazon.com/images/M/MV5BMjEwNjAzMzUyN15BMl5BanBnXkFtZTcwMDUxNDQxNw@@.jpg,American,8844.0,2012.0,['118'],['English'],https://www.youtube.com/embed/e1Cj-_o2FGQ
Ranga Ranga Vaibhavanga: (2022),15509564,"['Mohammad Ali', 'Naveen Chandra', 'Shobhita Rana', 'Ketika Sharma', 'Subbaraju', 'Adarsh Swaroop', 'Panja Vaisshnav Tej']","Two childhood buddies develop a dislike for each other after an event, which continues even after they become adults. When they enroll in the same medical college, they decide to patch up and gradually develop fondness for each other.",Gireesaaya,5.4,"['Comedy', 'Drama', 'Romance']",https://m.media-amazon.com/images/M/MV5BODhlMzA2MWEtODk3Ni00YjIzLWE4ZTgtNDM1ODkyY2IwNjJmXkEyXkFqcGdeQXVyMTI1NDEyNTM5.jpg,Telugu,949.0,2022.0,['122'],['Telugu'],https://www.youtube.com/embed/J8CvvGRTziQ
Showtime: (2024),28075268,"['Emraan Hashmi', 'Naseeruddin Shah', 'Mahima Makwana', 'Mouni Roy', 'Rajeev Khandelwal', 'Shriya Saran', 'Vishal Vashishtha', 'Himesh Lokwani', 'Lalita Kumar', 'Benedict Garrett', 'Sarveshwar Mahajan', 'Jitendra Kumar', 'Sandeep Bhojak', 'Pravin Manjarekar', 'Vijay Raaz']",Features the power struggles and off-camera fights occurring in the backstage areas of Bollywood.,,6.2,['Drama'],https://m.media-amazon.com/images/M/MV5BZjg2ZWY4NzctMzY4OS00NzNjLWI0Y2MtYmY3MWFiOGZhN2NhXkEyXkFqcGdeQXVyMTY1OTQyNDcw.jpg,American,513.0,2024.0,,['Hindi'],https://www.youtube.com/embed/tAXew1iKCnw
Terminator 3: Rise of the Machines: (2003),181852,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes', 'Kristanna Loken', 'David Andrews', 'Mark Famiglietti', 'Earl Boen', 'Moira Sinise', 'Chopper Bernet', 'Christopher Lawford', 'Carolyn Hennesy', 'Jay Acovone', 'M.C. Gainey', 'Susan Merson', 'Elizabeth Morehead', 'Jimmy Snyder', 'Billy D. Lucas', 'Brian Sites', 'Alana Curry', 'Larry McCormick', 'Robert Alonzo', 'Michael Papajohn', 'Timothy Dowling', 'Jon Foster', 'Mark Hicks', 'Kim Robillard', 'Matt Gerald', ""William O'Leary"", 'Rick Zieff', 'Rebecca Tilney', 'Chris Hardwick', 'Helen Eigenberg', 'Kiki Gorton', 'Walter von Huene', 'Jerry Katell', 'George A. Sack Jr.', 'Eric Ritter']",A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.,Jonathan Mostow,6.3,"['Action', 'Sci-Fi']",https://m.media-amazon.com/images/M/MV5BMTk5NzM1ODgyN15BMl5BanBnXkFtZTcwMzA5MjAzMw@@.jpg,American,417821.0,2003.0,['109'],['English'],https://www.youtube.com/embed/5UgPJhyJmlM
Paagalpan: (2001),285319,"['Karan Nath', 'Aarthi Agarwal', 'Dr. Vilas Ujawane', 'Bharat Dabholkar', 'Joy Fernandes', 'Farhan Khan', 'Harvey Rosemeyer', 'Talat Rekhi', 'Sambhavna Sheth', 'Prema Kiran', 'Premendra Sharma', 'Bakul Thakkar', 'Raj Nair', 'Iqbal Dosani', 'Ramakrishna', 'Darshan Jariwala', 'Rajat Nath', 'Sparsh Agrawat', 'Sunil Kocharekar']","Young and attractive Roma Pinto is the only girl in the struggling Pinto family, consisting of five brothers, with assorted careers. They are very protective and affectionate towards her, and will not any woo her without their express permission. When Sameer Malhotra enters Roma's life, both fall in love, and decide to get married. The problem is Sameer's father is a wealthy industrialist, who will never permit his son to get married to a poor girl like Roma. And Roma's brothers do not approve of Sameer and will not permit him under any circumstances to get close to Roma, and will go to the extent of killing anyone who gets in their way.—rAjOo (gunwanti@hotmail.com)",Joy Augustine,6.8,"['Action', 'Drama', 'Romance']",https://m.media-amazon.com/images/M/MV5BYWQzMDBhYzMtM2VjOS00MDQzLWFmY2QtNDZlYzFhYzc5Yjk1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@.jpg,Hindi,49.0,2001.0,['146'],['Hindi'],https://www.youtube.com/embed/Vq4leB7_qgY
The Texas Chainsaw Massacre: The Beginning: (2006),420294,"['Jordana Brewster', 'Taylor Handley', 'Diora Baird', 'Matt Bomer', 'R. Lee Ermey', 'Andrew Bryniarski', 'Lee Tergesen', 'Terrence Evans', 'Kathy Lamkin', 'Marietta Marich', 'L.A. Calkins', 'Tim DeZarn', 'Allison Marich', 'Marcus H. Nelson', 'Lew Temple', 'Cyia Batten', 'Melody Chase', 'Heather Kafka', 'Emily Kaye', 'John Larroquette']","Before being sent to serve in Vietnam, two brothers and their girlfriends take one last road trip, but when they get into an accident, a terrifying experience will take them to a secluded house of horrors, with a chainsaw-wielding killer.",Jonathan Liebesman,5.8,['Horror'],https://m.media-amazon.com/images/M/MV5BMTIwMzAxNDcyMl5BMl5BanBnXkFtZTYwMjMwMDc2.jpg,American,77142.0,2006.0,['91'],['English'],https://www.youtube.com/embed/2gYGzJDt8HQ
InCar: (2023),26744173,"['Sandeep Goyat', 'Manish Jhanjholia', 'Gyan Prakash', 'Samsher Singh Sam', 'Ritika Singh', 'Sunil Soni', 'Ronnie Teja']",A kidnapped girl's terrifying journey of survival.,Harsh Warrdhan,7.7,"['Drama', 'Thriller']",https://m.media-amazon.com/images/M/MV5BN2IxMWMwMzEtZjFkMS00ZTAwLWI3N2MtYjE1ZDMwY2RlN2I2XkEyXkFqcGdeQXVyNzExMzY1Mw@@.jpg,Hindi,111.0,2023.0,['119'],['Hindi'],https://www.youtube.com/embed/O7vZ38k9-ck
One from the Heart: (1981),84445,"['Frederic Forrest', 'Teri Garr', 'Raul Julia', 'Nastassja Kinski', 'Lainie Kazan', 'Harry Dean Stanton', 'Allen Garfield', 'Jeff Hamlin', 'Italia Coppola', 'Carmine Coppola', 'Edward Blackoff', 'James Dean', 'Rebecca De Mornay', 'Javier Grajeda', 'Cynthia Kania', 'Monica Scattini', 'Luana Anders', 'Judith Burnett', 'Ty Crowley', 'Michael David Eilert', 'Miranda Garrison', 'Ken Grant', 'Sandra Gray', 'Doctor Hayes', 'Michelle Johnston', 'Douglas Brian Martin', 'Lezlie Mogell', 'James Ridgley', 'Tom Waits', 'Cynthia Windham']","A couple has a fight after living together 5 years in Las Vegas. They go out and celebrate 4th of July, each with a new partner. Breakup?",Francis Ford Coppola,6.5,"['Drama', 'Musical', 'Romance']",https://m.media-amazon.com/images/M/MV5BM2RkODY4NzgtNTRjZC00NGRiLWJmMjEtMGU5MmM2ZTM3MDhlXkEyXkFqcGdeQXVyNDE0OTU3NDY@.jpg,American,7156.0,1981.0,['107'],"['English', 'German']",https://www.youtube.com/embed/SczK22jpRvk
Jawani Zindabad: (1990),337650,"['Aamir Khan', 'Farha Naaz', 'Jaaved Jaaferi', 'Rohini', 'Utpal Dutt', 'Govardhan Asrani', 'Sushma Seth', 'Shobha Khote', 'Upasana Singh', 'Rajesh Puri', 'Kader Khan', 'Satyendra Kapoor', 'Viju Khote', 'Mehmood Jr.', 'Chandrashekhar Vaidya', 'Birbal', 'Ashalata Kashmiri', 'Shraddha Verma', 'K.K. Raj', 'Noorjahan', 'Srinivas', 'Jambura', 'Harbans Darshan M. Arora', 'Jagdish Raj', 'Prem Sagar', 'Asha Sharma']","After idealist Shashi takes a stand against traditional marriage dowries, angry elders vow to destroy the young man and his family.",Arun Bhatt,5.1,"['Drama', 'Romance']",https://m.media-amazon.com/images/M/MV5BZTkzNTNjNjEtNTQ5OC00YjgzLWI4MmQtYmNmNTdiMWZmY2JiXkEyXkFqcGdeQXVyODE5NzE3OTE@.jpg,Hindi,707.0,1990.0,['163'],['Hindi'],https://www.youtube.com/embed/w3LllhHdBnk
The Double Life of Veronique: (2015),30581561,"['Xiang Ding', 'Yiren Gao', 'Anthony Gavard', 'Xuan Gu', 'Liu Yi Han', 'Zhengyan Huo', 'Yang Jincheng', 'Hawick Hau-Wai Lau', 'Likun Wang', 'Hua Ming Wei']",,,,['Drama'],https://m.media-amazon.com/images/M/MV5BZDRlOGE5NzYtN2JjMC00NTNmLWFjMzMtODJkODMxYmFhOGYwXkEyXkFqcGdeQXVyNjg0OTk1NTE@.jpg,American,,2015.0,,['Chinese'],https://www.youtube.com/embed/_baGBH7_G4U
The Spirit: (2008),831887,"['Jaime King', 'Gabriel Macht', 'Dan Gerrity', 'Arthur the Cat', 'Kimberly Cox', 'Brian Neal Lucero', 'David Brian Martin', 'Larry Reinhardt-Meyer', 'Frank Miller', 'Eva Mendes', 'Eric Balfour', 'Samuel L. Jackson', 'Louis Lombardi', 'Scarlett Johansson', 'Sarah Paulson', 'Dan Lauria', 'Daniel Hubbert', 'Johnny Simmons', 'Seychelle Gabriel', 'Michael Milhoan', 'John Cade', 'David Wiegand', 'Chad Brummett', 'Richard Portnow', 'Mark Delgallo', 'Stana Katic', 'Aaron Toney', 'Dean Squibb', 'Meeghan Holaway', 'Al Goto', 'Roman Tissera', 'Frank Bond', 'Hugh Elliot', 'Robert Douglas Washington', 'Bill Pope', 'Benjamin Petry', 'Marina Lyon', 'Paul Levitz', 'Emily Cheung', 'Keith Kuhl', 'Cayley Bell', 'Jasmine Mohamed', 'Paz Vega', ""T. Jay O'Brien"", 'Rio Alexander', 'Drew Pollock', 'Michael-David Aragon', 'William Arute', 'Robert Anthony Brass', 'Robert Cain', ""Chan'dre Collette"", 'Pamela Finley', 'Genia Michaela', 'Tyler Williams', 'Foued Zayani']","Rookie cop Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces in Central City.",Frank Miller,4.7,"['Action', 'Crime', 'Fantasy', 'Thriller']",https://m.media-amazon.com/images/M/MV5BNDcyMTc1NzgwNF5BMl5BanBnXkFtZTcwNzUyMDUwMg@@.jpg,American,62770.0,2008.0,['103'],"['English', 'French']",https://www.youtube.com/embed/egvFBZFi0vY
Blues Brothers 2000: (1998),118747,"['Walter Levine', 'Dan Aykroyd', 'Tom Davis', 'Frank Oz', 'Shann Johnson', 'B.B. King', 'Kathleen Freeman', 'J. Evan Bonifant', 'Gloria Slade', 'Joe Morton', 'Jennifer Irwin', 'Junior Wells', 'Lonnie Brooks', 'Leon Pendarvis', 'Steve Potts', 'Birch Johnson', 'Demo Cates', 'John Goodman', 'Willie Hall', 'Nia Peeples', 'Michael Bodnar', 'Slavko Hochevar', 'Igor Syyouk', 'Victor Pedtrchenko', 'Wally High', 'Richard Kruk', 'John Lyons', 'Matt Murphy', 'Lou Marini', 'Aretha Franklin', 'Esther Ridgeway', 'Gloria Ridgeway', 'Gracie Ridgeway', 'Donald Dunn', 'Steve Cropper', 'Tom Malone', 'George Sperdakos', 'Alan Rubin', 'Jonny Lang', 'Murphy Dunne', 'Eddie Floyd', 'Wilson Pickett', 'Jillian Rees-Brown', 'Steve Lawrence', 'John Popper', 'Bobby Sheehan', 'Brendan Hill', 'Chan Kinchla', 'Liz Gordon', 'Susan Davy', 'Soo Garay', 'Jeff Morris', 'Howard Hoover', 'Darrell Hammond', 'Chris Marshall', 'Nicholas Rice', 'Max Landis', 'Sandi Ross', 'Danny Ray', 'Sharon Riley', 'Faith Chorale', 'Prakash John', 'Fred Keeler', 'Shiraz Tayyeb', 'John T. Davis', 'Sam Moore', 'James Brown', 'Candide Franklyn', 'Paul Shaffer', 'Erykah Badu', 'Patrick Patterson', 'Jeffrey Baxter', 'Gary U.S. Bonds', 'Eric Clapton', 'Clarence Clemons', 'Jack DeJohnette', 'Bo Diddley', 'Jon Faddis', 'Isaac Hayes', 'Dr. John', 'Tommy McDonnell', 'Charlie Musselwhite', 'Billy Preston', 'Lou Rawls', 'Joshua Redman', 'KoKo Taylor', 'Travis Tritt', 'Jimmie Vaughan', 'Grover Washington Jr.', 'Willie Weeks', 'Steve Winwood', 'Ingrid Abbott', 'Samantha Adamson', 'Charlene Anthony', 'Anindita Banerjee', 'Ted Banfalvi', 'Warren Belle', 'Carla Bennett', 'Denosh Bennett', 'Kari Bodrug', 'Andrew Bortkiewicz', 'Melanie Boyko', 'Sharon Brown', 'Jenni Burke', 'Karen Burthwright', 'Shawn Byfield', 'Justine Campbell', 'Tracey Champagne', 'Heather Cherron', 'Alfie Chieffallo', 'Donna Christo', 'Vanessa Cobham', 'Lisa Collins', 'Lea Creswell', 'Angela Desario', 'Susie Dias', 'Michelle Digioacchino', 'Jeff Duke', 'Lisa Ferguson', 'Jennie Ford', 'Rochelle Forland', 'Melanie Fortier', 'Victoria Galati', 'Rhett George', 'Kelly Gifford', 'Patrice Goodman', 'Dorin Grunwald', 'Nina Hilger', 'Karen Holness', 'Gavin Hope', 'Siona Jackson', 'Teri Keri', 'Andrea Kovesdi', 'Monique Kurnath', 'Garfield Lemonus', 'Lori Maraglia', 'Shelly Marriage', 'Nancy McAlear', 'Marianne McCord', 'Jason McDonald', 'Aimee McKenzie', 'Christopher Medina', 'Jason Meloche', 'Kwame Mensah', 'Christine Nowland', 'Claudia Openkelder', 'Nicola Pantin', 'Mary Paterson', 'Kimberly Pilc', 'Ronnie Pulval', 'Cheryl Quiacos', 'Peter Radcliffe', 'Simmi Raymond', 'Jan-Mari Resmer', 'Kim Roberts', 'Lara Rodin', 'Arthur Lee Rose', 'Theresa Runstedler', 'Jodi Screpnek', 'Natalie Sebastien', 'Iggy Simmons', 'Jake Simons', 'Danelle Smith', 'Richard Smith', 'Roxanne Sorias', 'Louise St. Cyr', 'Saidah Baba Talibah', 'Cherilee Taylor', 'Troy Terashita', 'Keri Tkacz', 'Rhonda Towells', 'Lena Vajakas', 'Marie Ward', 'Gina Wilkinson', 'Cindy Willems', 'Anna Marie Wood', 'Jason Yorke', 'Janet Zenik', 'Blues Traveler', 'Michael G. Brown', 'Wayne Curnew', 'Domenico A. Galloro', 'Ron Gwynne', 'David Headon', 'Kelly Jarrell', 'Tony Kenny', 'Jim Reischl', 'Daniel Vivian']","Elwood must reunite the old band, with a few new members, and go on another ""Mission from God.""",John Landis,4.9,"['Action', 'Comedy', 'Crime', 'Music', 'Musical']",https://m.media-amazon.com/images/M/MV5BMGUyODE5ODAtZTIzNy00NDg4LTlhOTQtMTQ0MzU0MTdmZDFmXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,American,34729.0,1998.0,['123'],"['English', 'Russian']",https://www.youtube.com/embed/2eEpcETVV3s
High-Ballin': (1978),77679,"['Peter Fonda', 'Jerry Reed', 'Helen Shaver', 'Chris Wiggins', 'Chris Langevin', 'David Ferry', 'Harvey Atkin', 'Leslie Carlson', 'Myrna Lorrie', 'Mary Pirie', 'Prairie Oyster', 'Wendy Thatcher', 'Arnie Achtman', 'Ardon Bess', 'George Buza', 'Alan Crofoot', 'Len Doncheff', 'John Friesen', 'Kay Hawtrey', 'Michael Hogan', 'Eric House', 'Michael Ironside', 'Cec Linder', 'Chris Lumiere', 'Briane Nasimok', 'Patrick Patterson', 'Linda Rennhofer', 'Sherri Ross', 'John Rutter', 'Steve Weston', 'Ken James', 'Dwayne McLean', 'Michael Stevens']",Two truck drivers fight off thugs who have been hired to drive them out of business.,Peter Carter,5.4,"['Action', 'Drama']",https://m.media-amazon.com/images/M/MV5BMGMyNzRkZjYtNjRhZC00ODIxLTlkOWMtMmYwZDdkNGMxNTJjL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg,American,796.0,1978.0,['97'],['English'],https://www.youtube.com/embed/9QIS3JYfwL8
